Sample,Cluster
SRX18040004,2
SRX18040005,2
SRX18040006,2
SRX18040007,3
SRX18040008,2
SRX18040009,2
SRX18040010,2
SRX18040011,2
SRX18040012,2
SRX18040013,2
SRX18040014,2
SRX18040015,2
SRX18040016,3
SRX18040017,2
SRX18040018,2
SRX18040019,2
SRX18040020,2
SRX18040021,2
SRX18040022,2
SRX18040023,2
SRX18040024,3
SRX18040025,2
SRX18040026,2
SRX18040027,3
SRX18040028,2
SRX18040029,2
SRX18040030,3
SRX18040031,2
SRX18040032,2
SRX18040033,2
SRX18040034,2
SRX18040035,2
SRX18040036,2
SRX18040037,2
SRX18040038,2
SRX18040039,3
SRX18040040,2
SRX18040041,2
SRX18040042,2
SRX18040043,0
SRX18040044,2
SRX18040045,2
SRX18040046,3
SRX18040047,2
SRX18040048,2
SRX18040049,2
SRX18040050,2
SRX18040051,2
SRX18040052,2
SRX18040053,2
SRX18040054,2
SRX18040055,3
SRX18040056,3
SRX18040057,2
SRX18040058,2
SRX18040059,2
SRX18040060,2
SRX18040061,0
SRX18040062,3
SRX18040063,2
SRX18040064,2
SRX9845500,0
SRX9845501,0
SRX9845502,0
SRX9845503,0
SRX9845504,0
SRX9845505,0
SRX9845506,0
SRX9845507,0
SRX9845508,0
SRX9845509,0
SRX9845510,3
SRX9845511,0
SRX9845512,0
SRX9845513,2
SRX9845514,2
SRX9845515,0
SRX9845516,0
SRX9845517,0
SRX9845518,3
SRX9845519,3
SRX9845520,0
SRX9845521,0
SRX9845522,3
SRX9845523,3
SRX9845524,2
SRX9845525,2
SRX9845526,0
SRX9845527,2
SRX9845528,0
SRX9845529,2
SRX9845530,0
SRX9845531,0
SRX9845532,0
SRX9845533,0
SRX9845534,0
SRX9845535,0
SRX9845536,3
SRX9845537,0
SRX9845538,2
SRX9845539,0
SRX9845540,0
SRX9845541,0
SRX9845542,0
SRX9845543,0
SRX13037862,3
SRX13037863,3
SRX13037864,3
SRX13037865,3
SRX13037866,3
SRX13037867,3
SRX13037868,3
SRX13037869,3
SRX13037870,3
SRX13037871,3
SRX7172518,0
SRX7172519,0
SRX7172520,0
SRX7172521,0
SRX7172522,0
SRX7172523,0
SRX7172524,0
SRX7172525,0
SRX7172526,3
SRX7172527,0
SRX7172528,0
SRX7172529,0
SRX7172530,0
SRX7172531,0
SRX7172532,3
SRX7172533,2
SRX7172534,0
SRX7172535,3
SRX7172536,3
SRX7172537,0
SRX7172538,2
SRX7172539,0
SRX7172540,0
SRX7172541,0
SRX7172542,0
SRX7172543,0
SRX7172544,0
SRX7172545,0
SRX7172546,0
SRX7172547,0
SRX7172548,0
SRX7172549,0
SRX7172550,0
SRX7172551,0
SRX7172552,0
SRX7172553,0
SRX7172554,2
SRX7172555,0
SRX7172556,0
SRX7172557,2
SRX7172558,0
SRX7172559,0
SRX7172560,2
SRX7172561,3
SRX7172562,0
SRX7172563,0
SRX7172564,0
SRX7172565,0
SRX7172566,2
SRX7172567,0
SRX7172568,2
SRX7172569,3
SRX7172570,0
SRX7172571,0
SRX7172572,0
SRX7172573,3
SRX7172574,0
SRX7172575,2
SRX7172576,0
SRX7172577,0
SRX7172578,0
SRX7172579,3
SRX7656957,1
SRX7656958,1
SRX7656959,1
SRX7656960,1
SRX7656961,1
SRX7656962,1
SRX7656963,1
SRX7656964,1
SRX7656965,1
SRX7656966,1
SRX7656967,1
SRX7656968,1
SRX7656969,1
SRX7656970,1
SRX7656971,1
SRX7656972,1
SRX7656973,1
SRX7656974,1
SRX7656975,1
SRX7656976,1
SRX7656977,1
SRX7656978,1
SRX7656979,1
SRX7656980,1
SRX7656981,1
SRX7656982,1
SRX7656983,1
SRX7656984,1
SRX7656985,1
SRX7656986,1
SRX7656987,1
SRX7656988,1
SRX7656989,1
SRX7656990,1
SRX7656991,1
SRX7656992,1
SRX7656993,1
SRX7656994,1
SRX7656995,1
SRX7656996,1
